Total lanes,Express lanes,Bagging,Average interval,,,,,,
10012,158,9835,117570,63,32.4980024,6049,2969.168966,202.7068966,580
10005,252,9722,117075,21,11.15372314,3577,1639.731092,196.7647059,595
10008,337,9671,116515,22,10.0627498,3417,1389.935593,197.4830508,590
10002,69,9933,118735,172,86.95960808,7985,3834.496835,187.8718354,632
10004,1617,8387,103580,2,0.541483407,478,162.8921002,199.5761079,519
10003,72,9915,118050,171,85.41887434,7945,3797.994932,199.4087838,592
10006,972,9034,110275,2,0.675794523,794,187.3112701,197.2719141,559
10027,1557,8443,106150,2,0.599381669,652,173.4322344,194.4139194,546
10006,1686,8311,104940,2,0.566660004,678,161.2941176,192.9044118,544
10014,358,9629,115495,8,3.188236469,1818,614.6815068,197.765411,584
Average,,,,,,,,,
10006.9,938.66,9054.62,105576.3,26.3,12.97938844,2681.18,1173.599128,196.087139,538.42
,,,,,,,,,
Total lanes,Express lanes,Bagging,Average interval,,,,,,
12,2,Employee,15,,,,,,
Simulation Time,Idle Time,Busy Time,Busy Based on Service,Maximum Queue Length,Avg. Queue Length,Maximum Waiting Time,Avg. Waiting Time,Avg. Service Time,Shopper Count
10003,194,9766,117030,63,31.19704089,6056,2720.010221,199.3696763,587
10029,1970,8059,86750,1,0.539934191,475,149.5214447,195.8239278,443
10006,165,9820,117190,64,31.77603438,6006,2869.289655,202.0517241,580
10005,1624,8381,105525,2,0.575012494,687,166.4100186,195.7792208,539
10003,2100,7903,85575,2,0.546436069,447,152.1098398,195.8237986,437
10003,98,9901,117995,175,87.28451465,7924,4007.235195,199.6531303,591
10015,2176,7824,73525,1,0.526110834,485,152.8915989,199.2547425,369
10003,2129,7868,72970,1,0.514145756,474,143.1548556,191.5223097,381
10001,89,9911,117590,170,85.80551945,8037,3883.839465,196.638796,598
10012,237,9743,116095,19,10.11156612,3065,1476.663383,190.6321839,609
10001,75,9910,118350,176,87.67543246,7988,3878.710483,196.921797,601
10004,1605,8388,90345,2,0.549880048,495,158.6712329,206.2671233,438
10000,2028,7973,91170,1,0.5356,466,162.8643678,209.5862069,435
10008,319,9689,116030,11,4.851618705,2259,894.6085409,206.4590747,562
10001,855,9115,113055,2,0.709229077,684,196.817029,204.8097826,552
10003,160,9830,117605,63,31.13905828,6060,2725.161667,196.0083333,600
10001,74,9887,117920,174,86.23837616,8008,3756.699837,192.365416,613
10001,144,9852,117875,61,29.88021198,5991,2713.954082,200.4676871,588
10007,2213,7794,83295,1,0.532227441,470,148.0069606,193.2598608,431
10002,242,9760,116200,22,10.56408718,3962,1499.027165,197.2835314,589
10004,2021,7972,85130,2,0.533486605,480,153.0069767,197.9767442,430
10007,1199,8808,102595,2,0.587388828,606,163.3988868,190.3432282,539
10017,2091,7926,86375,1,0.526504942,472,151.6682028,199.0207373,434
9991,1240,8769,109120,3,0.748573716,746,207.3618538,194.5098039,561
10007,224,9783,117070,22,11.14030179,3480,1656.976549,196.0971524,597
10008,132,9868,117160,62,30.94434452,5818,2695.032895,192.6973684,608
10001,182,9788,117220,62,30.93060694,5832,2759.941077,197.3400673,594
10004,148,9856,117265,66,32.08356657,6159,2762.696335,204.6509599,573
10008,154,9839,117930,61,31.2763789,5813,2820.927653,189.5980707,622
10004,334,9670,116485,20,9.411535386,3423,1400.827939,198.4412266,587
10002,137,9839,117530,65,32.45410918,6077,2888.270869,200.2214651,587
10003,281,9722,116690,20,9.739878037,3213,1432.639866,195.4606365,597
10010,2346,7640,72420,1,0.497502498,484,147.2822581,194.6774194,372
10011,1587,8407,101715,2,0.566177205,471,155.2641509,191.9150943,530
10005,641,9364,111090,3,1.018990505,1058,269.0323741,199.8021583,556
10009,1403,8562,105865,2,0.643620741,595,170.9760589,194.9631676,543
10003,2096,7897,103330,2,0.549935019,559,157.1257143,196.8190476,525
10001,98,9900,118335,172,85.479952,7834,3813.448445,193.6743044,611
10013,2172,7841,84025,1,0.520023969,482,147.6397229,194.0531178,433
10006,2336,7670,87500,2,0.524585249,467,150.5608696,190.2173913,460
10005,2164,7833,82865,1,0.498550725,481,144.5197216,192.262181,431
10002,2021,7947,72225,1,0.548090382,435,146,191.0714286,378
10001,1357,8644,107290,2,0.717728227,714,199.5411985,200.917603,534
10006,87,9886,117730,175,86.58684789,7865,3765.936752,201.2478632,585
10002,893,9091,109975,2,0.774845031,745,209.9507042,193.6179577,568
10007,912,9073,113155,2,0.774058159,759,214.3439716,200.6294326,564
10007,203,9787,117415,65,32.31597881,6124,2897.040351,205.9912281,570
10005,282,9723,117090,21,10.73893053,3505,1554.160202,197.4536256,593
10001,162,9839,117425,64,31.64323568,5950,2808.538851,198.3530405,592
10004,307,9680,116305,9,3.43542583,2070,645.3926702,202.9755672,573
Average,,,,,,,,,
